Binance Pair,Currency,Market,Last Update
MDTUSDT,MDT,USDT,
STMXUSDT,STMX,USDT,
KNCUSDT,KNC,USDT,
LRCUSDT,LRC,USDT,
PNTUSDT,PNT,USDT,
COMPUSDT,COMP,USDT,
SCUSDT,SC,USDT,
ZENUSDT,ZEN,USDT,
SNXUSDT,SNX,USDT,
ETHUPUSDT,ETHUP,USDT,
ETHDOWNUSDT,ETHDOWN,USDT,
ADAUPUSDT,ADAUP,USDT,
ADADOWNUSDT,ADADOWN,USDT,
VTHOUSDT,VTHO,USDT,
DGBUSDT,DGB,USDT,
GBPUSDT,GBP,USDT,
SXPUSDT,SXP,USDT,
MKRUSDT,MKR,USDT,
DCRUSDT,DCR,USDT,
STORJUSDT,STORJ,USDT,
BNBUPUSDT,BNBUP,USDT,
BNBDOWNUSDT,BNBDOWN,USDT,
MANAUSDT,MANA,USDT,
AUDUSDT,AUD,USDT,
YFIUSDT,YFI,USDT,
BALUSDT,BAL,USDT,
BLZUSDT,BLZ,USDT,
IRISUSDT,IRIS,USDT,
KMDUSDT,KMD,USDT,
JSTUSDT,JST,USDT,
ANTUSDT,ANT,USDT,
CRVUSDT,CRV,USDT,
SANDUSDT,SAND,USDT,
OCEANUSDT,OCEAN,USDT,
NMRUSDT,NMR,USDT,
DOTUSDT,DOT,USDT,
LUNAUSDT,LUNA,USDT,
RSRUSDT,RSR,USDT,
PAXGUSDT,PAXG,USDT,
WNXMUSDT,WNXM,USDT,
TRBUSDT,TRB,USDT,
SUSHIUSDT,SUSHI,USDT,
YFIIUSDT,YFII,USDT,
KSMUSDT,KSM,USDT,
EGLDUSDT,EGLD,USDT,
DIAUSDT,DIA,USDT,
RUNEUSDT,RUNE,USDT,
FIOUSDT,FIO,USDT,
UMAUSDT,UMA,USDT,
BELUSDT,BEL,USDT,
WINGUSDT,WING,USDT,
UNIUSDT,UNI,USDT,
OXTUSDT,OXT,USDT,
SUNUSDT,SUN,USDT,
AVAXUSDT,AVAX,USDT,
FLMUSDT,FLM,USDT,
ORNUSDT,ORN,USDT,
UTKUSDT,UTK,USDT,
XVSUSDT,XVS,USDT,
ALPHAUSDT,ALPHA,USDT,
AAVEUSDT,AAVE,USDT,
NEARUSDT,NEAR,USDT,
FILUSDT,FIL,USDT,
INJUSDT,INJ,USDT,
AUDIOUSDT,AUDIO,USDT,
CTKUSDT,CTK,USDT,
AKROUSDT,AKRO,USDT,
AXSUSDT,AXS,USDT,
HARDUSDT,HARD,USDT,
STRAXUSDT,STRAX,USDT,
UNFIUSDT,UNFI,USDT,
ROSEUSDT,ROSE,USDT,
AVAUSDT,AVA,USDT,
XEMUSDT,XEM,USDT,
SKLUSDT,SKL,USDT,
GRTUSDT,GRT,USDT,
JUVUSDT,JUV,USDT,
PSGUSDT,PSG,USDT,
1INCHUSDT,1INCH,USDT,
REEFUSDT,REEF,USDT,
OGUSDT,OG,USDT,
ATMUSDT,ATM,USDT,
ASRUSDT,ASR,USDT,
CELOUSDT,CELO,USDT,
RIFUSDT,RIF,USDT,
TRUUSDT,TRU,USDT,
CKBUSDT,CKB,USDT,
TWTUSDT,TWT,USDT,
FIROUSDT,FIRO,USDT,
LITUSDT,LIT,USDT,
SFPUSDT,SFP,USDT,
DODOUSDT,DODO,USDT,
CAKEUSDT,CAKE,USDT,
ACMUSDT,ACM,USDT,
BADGERUSDT,BADGER,USDT,
FISUSDT,FIS,USDT,
OMUSDT,OM,USDT,
PONDUSDT,POND,USDT,
DEGOUSDT,DEGO,USDT,
ALICEUSDT,ALICE,USDT,
LINAUSDT,LINA,USDT,
PERPUSDT,PERP,USDT,
SUPERUSDT,SUPER,USDT,
CFXUSDT,CFX,USDT,
TKOUSDT,TKO,USDT,
PUNDIXUSDT,PUNDIX,USDT,
TLMUSDT,TLM,USDT,
BARUSDT,BAR,USDT,
FORTHUSDT,FORTH,USDT,
BAKEUSDT,BAKE,USDT,
BURGERUSDT,BURGER,USDT,
SLPUSDT,SLP,USDT,
SHIBUSDT,SHIB,USDT,
ICPUSDT,ICP,USDT,
ARUSDT,AR,USDT,
POLSUSDT,POLS,USDT,
MDXUSDT,MDX,USDT,
MASKUSDT,MASK,USDT,
LPTUSDT,LPT,USDT,
XVGUSDT,XVG,USDT,
ATAUSDT,ATA,USDT,
GTCUSDT,GTC,USDT,
ERNUSDT,ERN,USDT,
KLAYUSDT,KLAY,USDT,
PHAUSDT,PHA,USDT,
BONDUSDT,BOND,USDT,
MLNUSDT,MLN,USDT,
DEXEUSDT,DEXE,USDT,
C98USDT,C98,USDT,
CLVUSDT,CLV,USDT,
QNTUSDT,QNT,USDT,
FLOWUSDT,FLOW,USDT,
TVKUSDT,TVK,USDT,
MINAUSDT,MINA,USDT,
RAYUSDT,RAY,USDT,
FARMUSDT,FARM,USDT,
ALPACAUSDT,ALPACA,USDT,
QUICKUSDT,QUICK,USDT,
MBOXUSDT,MBOX,USDT,
FORUSDT,FOR,USDT,
REQUSDT,REQ,USDT,
GHSTUSDT,GHST,USDT,
WAXPUSDT,WAXP,USDT,
GNOUSDT,GNO,USDT,
XECUSDT,XEC,USDT,
ELFUSDT,ELF,USDT,
DYDXUSDT,DYDX,USDT,
IDEXUSDT,IDEX,USDT,
VIDTUSDT,VIDT,USDT,
USDPUSDT,USDP,USDT,
GALAUSDT,GALA,USDT,
ILVUSDT,ILV,USDT,
YGGUSDT,YGG,USDT,
SYSUSDT,SYS,USDT,
DFUSDT,DF,USDT,
FIDAUSDT,FIDA,USDT,
FRONTUSDT,FRONT,USDT,
CVPUSDT,CVP,USDT,
AGLDUSDT,AGLD,USDT,
RADUSDT,RAD,USDT,
BETAUSDT,BETA,USDT,
RAREUSDT,RARE,USDT,
LAZIOUSDT,LAZIO,USDT,
CHESSUSDT,CHESS,USDT,
ADXUSDT,ADX,USDT,
AUCTIONUSDT,AUCTION,USDT,
DARUSDT,DAR,USDT,
BNXUSDT,BNX,USDT,
MOVRUSDT,MOVR,USDT,
CITYUSDT,CITY,USDT,
ENSUSDT,ENS,USDT,
KP3RUSDT,KP3R,USDT,
QIUSDT,QI,USDT,
PORTOUSDT,PORTO,USDT,
POWRUSDT,POWR,USDT,
VGXUSDT,VGX,USDT,
JASMYUSDT,JASMY,USDT,
AMPUSDT,AMP,USDT,
PLAUSDT,PLA,USDT,
PYRUSDT,PYR,USDT,
RNDRUSDT,RNDR,USDT,
ALCXUSDT,ALCX,USDT,
SANTOSUSDT,SANTOS,USDT,
MCUSDT,MC,USDT,
BICOUSDT,BICO,USDT,
FLUXUSDT,FLUX,USDT,
FXSUSDT,FXS,USDT,
VOXELUSDT,VOXEL,USDT,
HIGHUSDT,HIGH,USDT,
CVXUSDT,CVX,USDT,
PEOPLEUSDT,PEOPLE,USDT,
OOKIUSDT,OOKI,USDT,
SPELLUSDT,SPELL,USDT,
JOEUSDT,JOE,USDT,
ACHUSDT,ACH,USDT,
IMXUSDT,IMX,USDT,
GLMRUSDT,GLMR,USDT,
LOKAUSDT,LOKA,USDT,
SCRTUSDT,SCRT,USDT,
API3USDT,API3,USDT,
BTTCUSDT,BTTC,USDT,
ACAUSDT,ACA,USDT,
XNOUSDT,XNO,USDT,
WOOUSDT,WOO,USDT,
ALPINEUSDT,ALPINE,USDT,
TUSDT,T,USDT,
ASTRUSDT,ASTR,USDT,
GMTUSDT,GMT,USDT,
KDAUSDT,KDA,USDT,
APEUSDT,APE,USDT,
BSWUSDT,BSW,USDT,
BIFIUSDT,BIFI,USDT,
MULTIUSDT,MULTI,USDT,
STEEMUSDT,STEEM,USDT,
MOBUSDT,MOB,USDT,
NEXOUSDT,NEXO,USDT,
REIUSDT,REI,USDT,
GALUSDT,GAL,USDT,
LDOUSDT,LDO,USDT,
EPXUSDT,EPX,USDT,
OPUSDT,OP,USDT,
LEVERUSDT,LEVER,USDT,
STGUSDT,STG,USDT,
LUNCUSDT,LUNC,USDT,
GMXUSDT,GMX,USDT,
POLYXUSDT,POLYX,USDT,
APTUSDT,APT,USDT,
OSMOUSDT,OSMO,USDT,
HFTUSDT,HFT,USDT,
PHBUSDT,PHB,USDT,
HOOKUSDT,HOOK,USDT,
MAGICUSDT,MAGIC,USDT,
HIFIUSDT,HIFI,USDT,
RPLUSDT,RPL,USDT,
PROSUSDT,PROS,USDT,
AGIXUSDT,AGIX,USDT,
GNSUSDT,GNS,USDT,
SYNUSDT,SYN,USDT,
VIBUSDT,VIB,USDT,
SSVUSDT,SSV,USDT,
LQTYUSDT,LQTY,USDT,
AMBUSDT,AMB,USDT,
BETHUSDT,BETH,USDT,
USTCUSDT,USTC,USDT,
GASUSDT,GAS,USDT,
GLMUSDT,GLM,USDT,
PROMUSDT,PROM,USDT,
QKCUSDT,QKC,USDT,
UFTUSDT,UFT,USDT,
IDUSDT,ID,USDT,
ARBUSDT,ARB,USDT,
LOOMUSDT,LOOM,USDT,
OAXUSDT,OAX,USDT,
RDNTUSDT,RDNT,USDT,
WBTCUSDT,WBTC,USDT,
EDUUSDT,EDU,USDT,
SUIUSDT,SUI,USDT,
AERGOUSDT,AERGO,USDT,
PEPEUSDT,PEPE,USDT,
FLOKIUSDT,FLOKI,USDT,
ASTUSDT,AST,USDT,
SNTUSDT,SNT,USDT,
